skill
Python
Java
JavaScript
C++
C#
SQL
NoSQL
MySQL
PostgreSQL
MongoDB
SQLite
AWS
Azure
GCP
Docker
Kubernetes
Linux
Git
GitHub
GitLab
Machine Learning
Deep Learning
NLP
Computer Vision
TensorFlow
PyTorch
scikit-learn
Pandas
NumPy
Matplotlib
Seaborn
OpenCV
Transformers
BERT
GPT
YOLO
LSTM
FastAPI
Flask
Django
REST API
GraphQL
Microservices
CI/CD
Jenkins
GitHub Actions
Agile
Jira
Hadoop
Spark
Kafka
Tableau
Power BI
Streamlit
LangChain
Sentence Transformers
Regex
